imdbID,Rated,Language,Country,Major_Awards,Metascore_binned,Box_office_binned
tt7098658,Not Rated,Hindi,India,0,N/A,N/A
tt7125860,R,Multilingual/Foreign,USA,1,high,N/A
tt7218518,T,Hindi,India,0,N/A,N/A
tt7242142,R,English,USA,0,high,N/A
tt7282468,Not Rated,Multilingual/Foreign,South Korea,0,high,N/A
tt7286456,R,English,USA,1,mid,N/A
tt0073486,R,English,USA,1,high,N/A
tt7349662,R,English,USA,1,high,N/A
tt0073707,Not Rated,Hindi,India,0,N/A,N/A
tt7430722,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt7469726,Not Rated,Hindi,India,0,N/A,N/A
tt7485048,Not Rated,Hindi,India,0,N/A,N/A
tt0075148,T,English,USA,1,high,N/A
tt0075314,R,Multilingual/Foreign,USA,1,high,N/A
tt0075686,T,Multilingual/Foreign,USA,1,high,N/A
tt7581902,Not Rated,Hindi,India,0,N/A,N/A
tt0758752,R,English,USA,1,mid,100Mil
tt0758766,T,English,USA,0,mid,100Mil
tt7668870,T,English,Russia,0,high,N/A
tt7681902,T,English,USA,0,high,N/A
tt7700730,Not Rated,Hindi,India,0,N/A,N/A
tt7725596,Not Rated,Hindi,India,0,N/A,N/A
tt7784604,R,Multilingual/Foreign,USA,0,high,N/A
tt0780504,R,Multilingual/Foreign,USA,1,high,100Mil
tt0790636,R,Multilingual/Foreign,USA,1,high,100Mil
tt7919680,Not Rated,Hindi,India,0,N/A,N/A
tt0800039,R,Multilingual/Foreign,USA,0,high,100Mil
tt8079248,T,Multilingual/Foreign,UK,0,mid,N/A
tt8108198,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt8130968,Not Rated,Hindi,India,0,N/A,N/A
tt0815236,R,Multilingual/Foreign,USA,0,mid,100Mil
tt0816692,T,English,USA,1,high,500Mil
tt0822832,T,English,USA,0,mid,500Mil
tt8266310,T,English,UK,0,high,N/A
tt8291224,Not Rated,Hindi,India,0,N/A,N/A
tt0083658,R,Multilingual/Foreign,USA,1,high,N/A
tt0838221,R,Multilingual/Foreign,USA,0,high,100Mil
tt0083929,R,English,USA,0,high,N/A
tt8439854,Not Rated,Hindi,India,0,N/A,N/A
tt8579674,R,Multilingual/Foreign,USA,1,high,N/A
tt0871510,Not Rated,Hindi,India,0,high,10Mil
tt0087332,T,English,USA,1,high,N/A
tt0087538,T,Multilingual/Foreign,USA,1,mid,N/A
tt0088258,R,English,USA,0,high,N/A
tt0088763,T,English,USA,1,high,10Mil
tt0887912,R,Multilingual/Foreign,USA,1,high,100Mil
tt0088847,R,English,USA,0,mid,N/A
tt8902990,Not Rated,Multilingual/Foreign,India,0,mid,N/A
tt0892769,T,English,USA,1,high,500Mil
tt8983202,Not Rated,Hindi,India,0,N/A,N/A
tt0907657,R,Multilingual/Foreign,Ireland,1,high,10Mil
tt0910970,G,English,USA,1,high,500Mil
tt9358204,R,English,USA,1,high,N/A
tt0093779,T,English,USA,1,high,N/A
tt9412098,R,English,USA,1,high,N/A
tt9573980,R,English,UK,1,N/A,N/A
tt0095953,R,Multilingual/Foreign,USA,1,mid,N/A
tt9614460,Not Rated,Hindi,India,0,N/A,N/A
tt0964517,R,English,USA,1,high,100Mil
tt0970179,T,English,UK,1,high,100Mil
tt0097165,T,Multilingual/Foreign,USA,1,high,N/A
tt0981227,T,English,USA,0,mid,100Mil
tt0983193,T,English,USA,1,high,100Mil
tt0986264,T,Multilingual/Foreign,India,0,N/A,10Mil
tt0098635,R,English,USA,1,high,N/A
tt0993846,R,Multilingual/Foreign,USA,1,high,100Mil
