Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
89,tt0093105,2016-04-27,2016-04-27,,"Good Morning, Vietnam",https://www.imdb.com/title/tt0093105/,movie,7.3,121,1987,"Biography, Comedy, Drama, War",122396,1987-12-23,Barry Levinson,,
90,tt2948356,2016-04-27,2016-04-27,,Zootopia,https://www.imdb.com/title/tt2948356/,movie,8.0,108,2016,"Animation, Adventure, Comedy, Crime, Family, Mystery",416184,2016-02-11,"Rich Moore, Jared Bush, Byron Howard",,
91,tt0068646,2016-04-27,2016-04-27,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1554939,1972-03-14,Francis Ford Coppola,,
92,tt0071562,2016-04-27,2016-04-27,,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",1086764,1974-12-12,Francis Ford Coppola,,
93,tt2452254,2016-05-12,2016-05-12,,Clouds of Sils Maria,https://www.imdb.com/title/tt2452254/,movie,6.7,124,2014,Drama,26729,2014-05-23,Olivier Assayas,,
94,tt1192628,2016-05-12,2016-05-12,,Rango,https://www.imdb.com/title/tt1192628/,movie,7.2,107,2011,"Animation, Adventure, Comedy, Family, Western",229045,2011-02-14,Gore Verbinski,,
95,tt0082933,2016-05-12,2016-05-12,,Possession,https://www.imdb.com/title/tt0082933/,movie,7.4,124,1981,"Drama, Horror",23342,1981-05-25,Andrzej Zulawski,,
96,tt3148890,2016-05-13,2016-05-13,,Embrace of the Vampire,https://www.imdb.com/title/tt3148890/,video,4.1,91,2013,Horror,2231,2013-10-15,Carl Bessai,,
97,tt2140479,2016-05-15,2016-05-15,,The Accountant,https://www.imdb.com/title/tt2140479/,movie,7.3,128,2016,"Action, Crime, Drama, Thriller",250925,2016-10-03,Gavin O'Connor,,
98,tt2094766,2016-05-15,2016-05-15,,Assassin's Creed,https://www.imdb.com/title/tt2094766/,movie,5.7,115,2016,"Action, Adventure, Sci-Fi",179499,2016-12-13,Justin Kurzel,,
99,tt0212346,2016-05-20,2016-05-20,,Miss Congeniality,https://www.imdb.com/title/tt0212346/,movie,6.2,109,2000,"Action, Comedy, Crime, Romance",181094,2000-12-14,Donald Petrie,,
100,tt0313737,2016-05-20,2016-05-20,,Two Weeks Notice,https://www.imdb.com/title/tt0313737/,movie,6.1,101,2002,"Comedy, Romance",103808,2002-12-12,Marc Lawrence,,
101,tt0309987,2016-05-21,2016-05-21,,The Dreamers,https://www.imdb.com/title/tt0309987/,movie,7.2,115,2003,"Drama, Romance",107519,2003-09-01,Bernardo Bertolucci,,
102,tt0329691,2016-05-30,2016-05-30,,Torque,https://www.imdb.com/title/tt0329691/,movie,4.1,84,2004,"Action, Comedy, Crime",26631,2004-01-14,Joseph Kahn,,
103,tt0221027,2016-05-30,2016-05-30,,Blow,https://www.imdb.com/title/tt0221027/,movie,7.6,124,2001,"Biography, Crime, Drama",234707,2001-03-29,Ted Demme,,
104,tt0152015,2016-06-12,2016-06-12,,Pola X,https://www.imdb.com/title/tt0152015/,movie,5.8,134,1999,"Drama, Romance",4332,1999-05-12,Leos Carax,,
105,tt5698320,2016-06-21,2016-06-21,,Euphoria,https://www.imdb.com/title/tt5698320/,movie,5.8,104,2017,"Adventure, Drama, Mystery",3208,2017-09-08,Lisa Langseth,,
106,tt2674426,2016-06-21,2016-06-21,,Me Before You,https://www.imdb.com/title/tt2674426/,movie,7.4,106,2016,"Drama, Romance",196721,2016-05-23,Thea Sharrock,,
107,tt3563262,2016-06-21,2016-06-21,,Submergence,https://www.imdb.com/title/tt3563262/,movie,5.4,112,2017,"Drama, Romance, Thriller",6773,2017-09-10,Wim Wenders,,
108,tt1318517,2016-06-21,2016-06-21,,The Man Who Killed Don Quixote,https://www.imdb.com/title/tt1318517/,movie,6.4,132,2018,"Adventure, Comedy, Drama, Fantasy",13989,2018-05-19,Terry Gilliam,,
109,tt5360996,2016-06-21,2016-06-21,,Mary Magdalene,https://www.imdb.com/title/tt5360996/,movie,5.8,120,2018,"Biography, Drama",7897,2018-02-26,Garth Davis,,
110,tt5155780,2016-06-21,2016-06-21,,The Discovery,https://www.imdb.com/title/tt5155780/,movie,6.3,102,2017,"Drama, Romance, Sci-Fi, Thriller",27909,2017-01-20,Charlie McDowell,,
111,tt2378507,2016-06-21,2016-06-21,,The Glass Castle,https://www.imdb.com/title/tt2378507/,movie,7.1,127,2017,"Biography, Drama",27670,2017-08-11,Destin Daniel Cretton,,
112,tt1619029,2016-06-21,2016-06-21,,Jackie,https://www.imdb.com/title/tt1619029/,movie,6.7,100,2016,"Biography, Drama, History",70764,2016-09-07,Pablo Larraín,,
113,tt1648190,2016-06-21,2016-06-21,,The Dark Tower,https://www.imdb.com/title/tt1648190/,movie,5.6,95,2017,"Action, Adventure, Fantasy, Horror, Sci-Fi, Western",121852,2017-07-31,Nikolaj Arcel,,
114,tt2771200,2016-06-21,2016-06-21,,Beauty and the Beast,https://www.imdb.com/title/tt2771200/,movie,7.1,129,2017,"Family, Fantasy, Musical, Romance",260729,2017-02-23,Bill Condon,,
115,tt1469304,2016-06-21,2016-06-21,,Baywatch,https://www.imdb.com/title/tt1469304/,movie,5.5,116,2017,"Action, Comedy, Crime",154069,2017-05-12,Seth Gordon,,
116,tt0974015,2016-06-21,2016-06-21,,Justice League,https://www.imdb.com/title/tt0974015/,movie,6.4,120,2017,"Action, Adventure, Fantasy, Sci-Fi",366156,2017-10-26,Zack Snyder,,
117,tt1226229,2016-06-22,2016-06-22,,Get Him to the Greek,https://www.imdb.com/title/tt1226229/,movie,6.4,109,2010,"Comedy, Music",166985,2010-05-25,Nicholas Stoller,,
118,tt1204342,2016-06-22,2016-06-22,,The Muppets,https://www.imdb.com/title/tt1204342/,movie,7.1,120,2011,"Adventure, Comedy, Family, Musical",85561,2011-11-04,James Bobin,,
119,tt3416744,2016-06-22,2016-06-22,,The End of the Tour,https://www.imdb.com/title/tt3416744/,movie,7.3,106,2015,"Biography, Drama",27798,2015-01-23,James Ponsoldt,,
120,tt0057765,2016-06-22,2016-06-22,,The Man from U.N.C.L.E.,https://www.imdb.com/title/tt0057765/,tvSeries,7.7,50,1964,"Action, Adventure, Crime",4559,1964-09-22,,,
121,tt4034354,2016-06-22,2016-06-22,,Swiss Army Man,https://www.imdb.com/title/tt4034354/,movie,7.0,97,2016,"Comedy, Drama, Fantasy, Romance",101376,2016-01-22,"Dan Kwan, Daniel Scheinert",,
122,tt3721936,2016-06-22,2016-06-22,,American Honey,https://www.imdb.com/title/tt3721936/,movie,7.0,163,2016,"Drama, Romance",35949,2016-05-15,Andrea Arnold,,
123,tt0120735,2016-06-22,2016-06-22,,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/,movie,8.2,107,1998,"Action, Comedy, Crime",520121,1998-08-23,Guy Ritchie,,
124,tt0092400,2016-06-22,2016-06-22,,Married with Children,https://www.imdb.com/title/tt0092400/,tvSeries,8.0,22,1987,Comedy,94121,1987-04-05,,,
125,tt4789576,2016-06-22,2016-06-22,,The Path,https://www.imdb.com/title/tt4789576/,tvSeries,7.3,60,2016,Drama,8044,2016-03-30,,,
126,tt1582350,2016-06-22,2016-06-22,,Episodes,https://www.imdb.com/title/tt1582350/,tvSeries,7.8,30,2011,Comedy,31853,2011-01-09,,,
127,tt0472954,2016-06-22,2016-06-22,,It's Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/,tvSeries,8.8,22,2005,Comedy,182672,2005-08-04,,,
128,tt2103085,2016-06-22,2016-06-22,,Top of the Lake,https://www.imdb.com/title/tt2103085/,tvSeries,7.5,60,2013,"Crime, Drama, Mystery, Thriller",31258,2013-01-20,,,
129,tt3749900,2016-06-22,2016-06-22,,Gotham,https://www.imdb.com/title/tt3749900/,tvSeries,7.8,42,2014,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller",206072,2014-07-26,,,
130,tt3032476,2016-06-22,2016-06-22,,Better Call Saul,https://www.imdb.com/title/tt3032476/,tvSeries,8.7,46,2015,"Crime, Drama",296739,2015-02-08,,,
131,tt4428122,2016-06-22,2016-06-22,,Quantico,https://www.imdb.com/title/tt4428122/,tvSeries,6.7,42,2015,"Crime, Drama, Mystery, Thriller",56238,2015-09-27,,,
132,tt1843230,2016-06-22,2016-06-22,,Once Upon a Time,https://www.imdb.com/title/tt1843230/,tvSeries,7.7,60,2011,"Adventure, Fantasy, Romance",203318,2011-10-23,,,
133,tt1442462,2016-06-22,2016-06-22,,The Good Wife,https://www.imdb.com/title/tt1442462/,tvSeries,8.3,43,2009,"Crime, Drama, Mystery",66279,2009-09-22,,,
134,tt3597912,2016-06-22,2016-06-22,,The Royals,https://www.imdb.com/title/tt3597912/,tvSeries,7.5,42,2015,Drama,10809,2015-03-15,,,
135,tt2312036,2016-06-22,2016-06-22,,East Los High,https://www.imdb.com/title/tt2312036/,tvSeries,7.0,26,2013,Drama,716,2013-12-31,,,
136,tt2802850,2016-06-22,2016-06-22,,Fargo,https://www.imdb.com/title/tt2802850/,tvSeries,8.9,53,2014,"Crime, Drama, Thriller",303852,2014-04-15,,,
137,tt1520211,2016-06-22,2016-06-22,,The Walking Dead,https://www.imdb.com/title/tt1520211/,tvSeries,8.2,44,2010,"Drama, Horror, Thriller",828197,2010-10-31,,,
138,tt2149175,2016-06-23,2016-06-23,,The Americans,https://www.imdb.com/title/tt2149175/,tvSeries,8.4,44,2013,"Crime, Drama, Mystery, Thriller",78956,2013-01-30,,,
139,tt0301357,2016-06-24,2016-06-24,,Good Bye Lenin!,https://www.imdb.com/title/tt0301357/,movie,7.7,121,2003,"Comedy, Drama, Romance",134792,2003-02-09,Wolfgang Becker,,
140,tt2062700,2016-06-28,2016-06-28,,Song to Song,https://www.imdb.com/title/tt2062700/,movie,5.7,129,2017,"Drama, Music, Romance",17668,2017-03-10,Terrence Malick,,
141,tt2101383,2016-06-28,2016-06-28,,Knight of Cups,https://www.imdb.com/title/tt2101383/,movie,5.7,118,2015,"Drama, Romance",24017,2015-02-08,Terrence Malick,,
142,tt1945228,2016-06-28,2016-06-28,,Voyage of Time: Life's Journey,https://www.imdb.com/title/tt1945228/,movie,6.4,90,2016,"Documentary, Drama",4078,2016-09-07,Terrence Malick,,
143,tt1518542,2016-06-30,2016-06-30,,Sarabhai vs Sarabhai,https://www.imdb.com/title/tt1518542/,tvSeries,8.9,30,2004,Comedy,14075,2004-11-08,,,
